task,model,n_total,n_positive,n_negative,tp,tn,fp,fn,fpr,fnr,error_rate,false_positive_rate,false_negative_rate,bias_toward
SLD,gat,62,27,35,19,23,12,8,0.34285714285714286,0.2962962962962963,0.3225806451612903,0.34285714285714286,0.2962962962962963,FP
SLD,gcn,62,27,35,21,26,9,6,0.2571428571428571,0.2222222222222222,0.24193548387096775,0.2571428571428571,0.2222222222222222,FP
SLD,gt,62,27,35,20,21,14,7,0.4,0.25925925925925924,0.3387096774193548,0.4,0.25925925925925924,FP
SLD,hgnn,62,27,35,22,21,14,5,0.4,0.18518518518518517,0.3064516129032258,0.4,0.18518518518518517,FP
SLD,hypergcn,62,27,35,15,24,11,12,0.3142857142857143,0.4444444444444444,0.3709677419354839,0.3142857142857143,0.4444444444444444,FN
SLI,gat,66,30,36,20,29,7,10,0.19444444444444445,0.3333333333333333,0.25757575757575757,0.19444444444444445,0.3333333333333333,FN
SLI,gcn,66,30,36,22,24,12,8,0.3333333333333333,0.26666666666666666,0.30303030303030304,0.3333333333333333,0.26666666666666666,FP
SLI,gt,66,30,36,22,26,10,8,0.2777777777777778,0.26666666666666666,0.2727272727272727,0.2777777777777778,0.26666666666666666,FP
SLI,hgnn,66,30,36,19,21,15,11,0.4166666666666667,0.36666666666666664,0.3939393939393939,0.4166666666666667,0.36666666666666664,FP
SLI,hypergcn,66,30,36,19,19,17,11,0.4722222222222222,0.36666666666666664,0.42424242424242425,0.4722222222222222,0.36666666666666664,FP
SSD,gat,64,28,36,18,23,13,10,0.3611111111111111,0.35714285714285715,0.359375,0.3611111111111111,0.35714285714285715,FP
SSD,gcn,64,28,36,16,26,10,12,0.2777777777777778,0.42857142857142855,0.34375,0.2777777777777778,0.42857142857142855,FN
SSD,gt,64,28,36,17,20,16,11,0.4444444444444444,0.39285714285714285,0.421875,0.4444444444444444,0.39285714285714285,FP
SSD,hgnn,64,28,36,14,23,13,14,0.3611111111111111,0.5,0.421875,0.3611111111111111,0.5,FN
SSD,hypergcn,64,28,36,20,25,11,8,0.3055555555555556,0.2857142857142857,0.296875,0.3055555555555556,0.2857142857142857,FP
SSI,gat,65,29,36,14,20,16,15,0.4444444444444444,0.5172413793103449,0.47692307692307695,0.4444444444444444,0.5172413793103449,FP
SSI,gcn,65,29,36,18,31,5,11,0.1388888888888889,0.3793103448275862,0.24615384615384617,0.1388888888888889,0.3793103448275862,FN
SSI,gt,65,29,36,17,24,12,12,0.3333333333333333,0.41379310344827586,0.36923076923076925,0.3333333333333333,0.41379310344827586,balanced
SSI,hgnn,65,29,36,16,27,9,13,0.25,0.4482758620689655,0.3384615384615385,0.25,0.4482758620689655,FN
SSI,hypergcn,65,29,36,16,23,13,13,0.3611111111111111,0.4482758620689655,0.4,0.3611111111111111,0.4482758620689655,balanced
VLD,gat,73,30,43,22,26,17,8,0.3953488372093023,0.26666666666666666,0.3424657534246575,0.3953488372093023,0.26666666666666666,FP
VLD,gcn,73,30,43,18,30,13,12,0.3023255813953488,0.4,0.3424657534246575,0.3023255813953488,0.4,FP
VLD,gt,73,30,43,21,22,21,9,0.4883720930232558,0.3,0.410958904109589,0.4883720930232558,0.3,FP
VLD,hgnn,73,30,43,20,27,16,10,0.37209302325581395,0.3333333333333333,0.3561643835616438,0.37209302325581395,0.3333333333333333,FP
VLD,hypergcn,73,30,43,15,29,14,15,0.32558139534883723,0.5,0.3972602739726027,0.32558139534883723,0.5,FN
VLI,gat,74,31,43,20,29,14,11,0.32558139534883723,0.3548387096774194,0.33783783783783783,0.32558139534883723,0.3548387096774194,FP
VLI,gcn,74,31,43,19,30,13,12,0.3023255813953488,0.3870967741935484,0.33783783783783783,0.3023255813953488,0.3870967741935484,FP
VLI,gt,74,31,43,18,26,17,13,0.3953488372093023,0.41935483870967744,0.40540540540540543,0.3953488372093023,0.41935483870967744,FP
VLI,hgnn,74,31,43,21,31,12,10,0.27906976744186046,0.3225806451612903,0.2972972972972973,0.27906976744186046,0.3225806451612903,FP
VLI,hypergcn,74,31,43,19,23,20,12,0.46511627906976744,0.3870967741935484,0.43243243243243246,0.46511627906976744,0.3870967741935484,FP
VSD,gat,70,27,43,17,27,16,10,0.37209302325581395,0.37037037037037035,0.37142857142857144,0.37209302325581395,0.37037037037037035,FP
VSD,gcn,70,27,43,18,31,12,9,0.27906976744186046,0.3333333333333333,0.3,0.27906976744186046,0.3333333333333333,FP
VSD,gt,70,27,43,16,22,21,11,0.4883720930232558,0.4074074074074074,0.45714285714285713,0.4883720930232558,0.4074074074074074,FP
VSD,hgnn,70,27,43,16,30,13,11,0.3023255813953488,0.4074074074074074,0.34285714285714286,0.3023255813953488,0.4074074074074074,FP
VSD,hypergcn,70,27,43,20,24,19,7,0.4418604651162791,0.25925925925925924,0.37142857142857144,0.4418604651162791,0.25925925925925924,FP
VSI,gat,72,30,42,25,31,11,5,0.2619047619047619,0.16666666666666666,0.2222222222222222,0.2619047619047619,0.16666666666666666,FP
VSI,gcn,72,30,42,20,32,10,10,0.23809523809523808,0.3333333333333333,0.2777777777777778,0.23809523809523808,0.3333333333333333,balanced
VSI,gt,72,30,42,15,22,20,15,0.47619047619047616,0.5,0.4861111111111111,0.47619047619047616,0.5,FP
VSI,hgnn,72,30,42,19,29,13,11,0.30952380952380953,0.36666666666666664,0.3333333333333333,0.30952380952380953,0.36666666666666664,FP
VSI,hypergcn,72,30,42,19,28,14,11,0.3333333333333333,0.36666666666666664,0.3472222222222222,0.3333333333333333,0.36666666666666664,FP
