task,model,accuracy,balanced_accuracy,f1,macro_f1,precision,sensitivity,specificity,mcc,cohens_kappa,tn,fp,fn,tp,auc_roc,auc_pr
SLD,gat,0.5483870967741935,0.5365079365079365,0.46153846153846156,0.5363247863247864,0.48,0.4444444444444444,0.6285714285714286,0.07380101250382305,0.07363927427961581,22,13,15,12,0.6571428571428571,0.588028695458662
SLD,gcn,0.6290322580645161,0.6333333333333333,0.6101694915254238,0.628161668839635,0.5625,0.6666666666666666,0.6,0.264575131106459,0.2611398963730571,21,14,9,18,0.6455026455026455,0.5881592328618492
SLD,gt,0.3709677419354839,0.4005291005291005,0.4657534246575342,0.3505237711522965,0.3695652173913043,0.6296296296296297,0.17142857142857143,-0.2254254980353404,-0.1841332027424094,6,29,10,17,0.40317460317460313,0.43135276905643244
SLD,hgnn,0.532258064516129,0.5687830687830688,0.6133333333333333,0.5107482993197279,0.4791666666666667,0.8518518518518519,0.2857142857142857,0.1631333713578926,0.12633624878522842,10,25,4,23,0.6222222222222222,0.5492633541873883
SLD,hypergcn,0.5645161290322581,0.5846560846560847,0.5970149253731343,0.5616653574234092,0.5,0.7407407407407407,0.42857142857142855,0.17545378532260505,0.16048144433299905,15,20,7,20,0.6677248677248677,0.5919298359069244
SLI,gat,0.6060606060606061,0.5777777777777777,0.38095238095238093,0.5460317460317461,0.6666666666666666,0.26666666666666666,0.8888888888888888,0.2008213586922364,0.16374269005847963,32,4,22,8,0.587037037037037,0.5778333838099948
SLI,gcn,0.6212121212121212,0.5944444444444444,0.4186046511627907,0.5688528873791482,0.6923076923076923,0.3,0.8888888888888888,0.2364877660126064,0.19825072886297368,32,4,21,9,0.5370370370370371,0.5679051826051673
SLI,gt,0.45454545454545453,0.49444444444444446,0.6086956521739131,0.35434782608695653,0.45161290322580644,0.9333333333333333,0.05555555555555555,-0.023186944788008416,-0.010204081632652962,2,34,2,28,0.5546296296296297,0.5419148890095676
SLI,hgnn,0.4696969696969697,0.5083333333333333,0.6153846153846154,0.3808630393996248,0.45901639344262296,0.9333333333333333,0.08333333333333333,0.031362502409359,0.01534526854219953,3,33,2,28,0.6166666666666666,0.6614800911530139
SLI,hypergcn,0.5,0.5083333333333333,0.5217391304347826,0.4989648033126294,0.46153846153846156,0.6,0.4166666666666667,0.016878989451394443,0.016260162601626105,15,21,12,18,0.5546296296296296,0.6336985379417414
SSD,gat,0.5625,0.5952380952380952,0.631578947368421,0.5465587044534412,0.5,0.8571428571428571,0.3333333333333333,0.21821789023599236,0.17647058823529416,12,24,4,24,0.6091269841269842,0.538603330164978
SSD,gcn,0.5625,0.5515873015873016,0.48148148148148145,0.5515515515515516,0.5,0.4642857142857143,0.6388888888888888,0.10421364855284106,0.10399999999999998,23,13,15,13,0.5178571428571428,0.48322495916623215
SSD,gt,0.46875,0.4642857142857143,0.41379310344827586,0.464039408866995,0.4,0.42857142857142855,0.5,-0.07100716024967263,-0.07086614173228356,18,18,16,12,0.49851190476190477,0.5456425287606596
SSD,hgnn,0.59375,0.5873015873015872,0.5357142857142857,0.5873015873015872,0.5357142857142857,0.5357142857142857,0.6388888888888888,0.1746031746031746,0.17460317460317465,23,13,13,15,0.5892857142857143,0.549139484409398
SSD,hypergcn,0.546875,0.5257936507936508,0.40816326530612246,0.5205373288555929,0.47619047619047616,0.35714285714285715,0.6944444444444444,0.05450410372491957,0.05306122448979589,25,11,18,10,0.5128968253968254,0.46032438879609505
SSI,gat,0.5692307692307692,0.5340038314176245,0.3,0.49444444444444446,0.5454545454545454,0.20689655172413793,0.8611111111111112,0.09016020217404751,0.07237512742099894,31,5,23,6,0.5354406130268199,0.5224221747290048
SSI,gcn,0.6153846153846154,0.5991379310344828,0.5098039215686274,0.5966741126830479,0.5909090909090909,0.4482758620689655,0.75,0.2082929294251117,0.20304070622854342,27,9,16,13,0.6388888888888888,0.5871405413770678
SSI,gt,0.5692307692307692,0.5172413793103449,0.06666666666666667,0.3933333333333333,1.0,0.034482758620689655,1.0,0.13927150363278892,0.038054968287526525,36,0,28,1,0.3448275862068965,0.3857477628761451
SSI,hgnn,0.5846153846153846,0.5881226053639848,0.5714285714285714,0.5842217484008528,0.5294117647058824,0.6206896551724138,0.5555555555555556,0.17540714030767632,0.17333961375412155,20,16,11,18,0.5890804597701149,0.5131021539110885
SSI,hypergcn,0.47692307692307695,0.5210727969348659,0.6136363636363636,0.40205627705627706,0.4576271186440678,0.9310344827586207,0.1111111111111111,0.07237703638750242,0.03829416884247161,4,32,2,27,0.6149425287356322,0.5388072043995605
VLD,gat,0.6027397260273972,0.5519379844961241,0.35555555555555557,0.5342134213421342,0.5333333333333333,0.26666666666666666,0.8372093023255814,0.1264882886994538,0.11236897274633129,36,7,22,8,0.5705426356589147,0.47470191758943936
VLD,gcn,0.5616438356164384,0.5724806201550388,0.5428571428571428,0.5609022556390977,0.475,0.6333333333333333,0.5116279069767442,0.14330448601001405,0.13800738007380065,22,21,11,19,0.5829457364341086,0.5395505124154809
VLD,gt,0.3972602739726027,0.47325581395348837,0.5510204081632653,0.3171768707482993,0.39705882352941174,0.9,0.046511627906976744,-0.10418729845837602,-0.04489264801561488,2,41,3,27,0.4503875968992248,0.43535504631704336
VLD,hgnn,0.6301369863013698,0.5751937984496124,0.37209302325581395,0.5549785504628584,0.6153846153846154,0.26666666666666666,0.8837209302325582,0.19340138213931393,0.16447647308181423,38,5,22,8,0.6077519379844962,0.5210554460403822
VLD,hypergcn,0.589041095890411,0.510077519379845,0.11764705882352941,0.42489495798319327,0.5,0.06666666666666667,0.9534883720930233,0.04357365111584055,0.023193577163247103,41,2,28,2,0.5891472868217055,0.5287711879136124
VLI,gat,0.5540540540540541,0.5442610652663166,0.47619047619047616,0.5439775910364146,0.46875,0.4838709677419355,0.6046511627906976,0.08815913051855567,0.08812546676624333,26,17,16,15,0.5971492873218304,0.5000632390701866
VLI,gcn,0.581081081081081,0.5945236309077269,0.5753424657534246,0.5810045662100456,0.5,0.6774193548387096,0.5116279069767442,0.18827204144640702,0.1801286633309508,22,21,10,21,0.6016504126031508,0.5192885078582014
VLI,gt,0.527027027027027,0.5480120030007501,0.5454545454545454,0.5262483994878361,0.45652173913043476,0.6774193548387096,0.4186046511627907,0.0976870429504218,0.08995080815179202,18,25,10,21,0.6001500375093773,0.5271970256406899
VLI,hgnn,0.43243243243243246,0.5071267816954239,0.5882352941176471,0.3375959079283888,0.4225352112676056,0.967741935483871,0.046511627906976744,0.035657322133312394,0.012078830260648488,2,41,1,30,0.5911477869467368,0.4962195713575728
VLI,hypergcn,0.6081081081081081,0.532258064516129,0.12121212121212122,0.4345191040843215,1.0,0.06451612903225806,1.0,0.19629178777987832,0.07420189818809309,43,0,29,2,0.582145536384096,0.5695607701283054
VSD,gat,0.6,0.5503875968992248,0.391304347826087,0.5467160037002775,0.47368421052631576,0.3333333333333333,0.7674418604651163,0.11030821663311734,0.10665451230628986,33,10,18,9,0.5030146425495263,0.46385288854874546
VSD,gcn,0.5571428571428572,0.5430663221360895,0.45614035087719296,0.5413231874867892,0.43333333333333335,0.48148148148148145,0.6046511627906976,0.08472142796255815,0.08438818565400841,26,17,14,13,0.5297157622739018,0.45048555999566187
VSD,gt,0.45714285714285713,0.49612403100775193,0.4864864864864865,0.45536445536445536,0.3829787234042553,0.6666666666666666,0.32558139534883723,-0.008033661942118627,-0.00681302043906129,14,29,9,18,0.4780361757105943,0.40595696332357234
VSD,hgnn,0.6428571428571429,0.5852713178294574,0.4186046511627907,0.5804363461999521,0.5625,0.3333333333333333,0.8372093023255814,0.1976934175396371,0.1845293569431501,36,7,18,9,0.6037898363479759,0.5458656107683197
VSD,hypergcn,0.6571428571428571,0.5968992248062015,0.42857142857142855,0.5918367346938775,0.6,0.3333333333333333,0.8604651162790697,0.22990024493585143,0.21126760563380287,37,6,18,9,0.5357450473729543,0.5703358238684768
VSI,gat,0.5972222222222222,0.6357142857142857,0.6419753086419753,0.5908289241622575,0.5098039215686274,0.8666666666666667,0.40476190476190477,0.29440562132531906,0.24675324675324672,17,25,4,26,0.6261904761904762,0.5086921604077798
VSI,gcn,0.5555555555555556,0.5952380952380952,0.6097560975609756,0.5468135326514556,0.4807692307692308,0.8333333333333334,0.35714285714285715,0.2096569673443837,0.17241379310344818,15,27,5,25,0.6365079365079365,0.5164908705830217
VSI,gt,0.5555555555555556,0.5809523809523809,0.5789473684210527,0.5541795665634675,0.4782608695652174,0.7333333333333333,0.42857142857142855,0.16618021061026217,0.1504424778761061,18,24,8,22,0.6563492063492063,0.5205314304741575
VSI,hgnn,0.5833333333333334,0.6,0.5833333333333334,0.5833333333333334,0.5,0.7,0.5,0.2,0.18918918918918914,21,21,9,21,0.6079365079365079,0.539419825784777
